"Tabela 1849 - Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, por Unidade da Federação, segundo as divisões de atividades (CNAE 2.0)"
"Variável - Número de unidades locais"
"Nível","Cód.","Unidade da Federação","Ano","Classificação Nacional de Atividades Econômicas (CNAE 2.0)",""
"UF","12","Acre","2013","10 Fabricação de produtos alimentícios","77","Unidades"
"UF","12","Acre","2013","20 Fabricação de produtos químicos","4","Unidades"
"UF","12","Acre","2013","24 Metalurgia","2","Unidades"
"UF","12","Acre","2013","29 Fabricação de veículos automotores, reboques e carrocerias","9","Unidades"
"UF","12","Acre","2014","Total","292","Unidades"
"UF","12","Acre","2014","B Indústrias extrativas","4","Unidades"
"UF","12","Acre","2014","C Indústrias de transformação","288","Unidades"
"UF","12","Acre","2014","10 Fabricação de produtos alimentícios","95","Unidades"
"UF","12","Acre","2014","20 Fabricação de produtos químicos","4","Unidades"
"UF","12","Acre","2014","24 Metalurgia","2","Unidades"
"UF","12","Acre","2014","29 Fabricação de veículos automotores, reboques e carrocerias","8","Unidades"
"UF","12","Acre","2015","Total","308","Unidades"
"UF","12","Acre","2015","B Indústrias extrativas","8","Unidades"
"UF","12","Acre","2015","C Indústrias de transformação","300","Unidades"
"UF","12","Acre","2015","10 Fabricação de produtos alimentícios","101","Unidades"
"UF","12","Acre","2015","20 Fabricação de produtos químicos","6","Unidades"
"UF","12","Acre","2015","24 Metalurgia","1","Unidades"
"UF","12","Acre","2015","29 Fabricação de veículos automotores, reboques e carrocerias","6","Unidades"
"UF","12","Acre","2016","Total","284","Unidades"
"UF","12","Acre","2016","B Indústrias extrativas","7","Unidades"
"UF","12","Acre","2016","C Indústrias de transformação","277","Unidades"
"UF","12","Acre","2016","10 Fabricação de produtos alimentícios","88","Unidades"
"UF","12","Acre","2016","20 Fabricação de produtos químicos","5","Unidades"
"UF","12","Acre","2016","24 Metalurgia","2","Unidades"
"UF","12","Acre","2016","29 Fabricação de veículos automotores, reboques e carrocerias","7","Unidades"
"UF","12","Acre","2017","Total","261","Unidades"
"UF","12","Acre","2017","B Indústrias extrativas","4","Unidades"
"UF","12","Acre","2017","C Indústrias de transformação","257","Unidades"
"UF","12","Acre","2017","10 Fabricação de produtos alimentícios","85","Unidades"
"UF","12","Acre","2017","20 Fabricação de produtos químicos","4","Unidades"
"UF","12","Acre","2017","24 Metalurgia","1","Unidades"
"UF","12","Acre","2017","29 Fabricação de veículos automotores, reboques e carrocerias","10","Unidades"
"UF","12","Acre","2018","Total","240","Unidades"
"UF","12","Acre","2018","B Indústrias extrativas","7","Unidades"
"UF","12","Acre","2018","C Indústrias de transformação","233","Unidades"
"UF","12","Acre","2018","10 Fabricação de produtos alimentícios","80","Unidades"
"UF","12","Acre","2018","20 Fabricação de produtos químicos","5","Unidades"
"UF","12","Acre","2018","24 Metalurgia","-","Unidades"
"UF","12","Acre","2018","29 Fabricação de veículos automotores, reboques e carrocerias","6","Unidades"
"UF","12","Acre","2019","Total","259","Unidades"
"UF","12","Acre","2019","B Indústrias extrativas","7","Unidades"
"UF","12","Acre","2019","C Indústrias de transformação","252","Unidades"
"UF","12","Acre","2019","10 Fabricação de produtos alimentícios","96","Unidades"
"UF","12","Acre","2019","20 Fabricação de produtos químicos","5","Unidades"
"UF","12","Acre","2019","24 Metalurgia","-","Unidades"
"UF","12","Acre","2019","29 Fabricação de veículos automotores, reboques e carrocerias","7","Unidades"
"UF","12","Acre","2020","Total","225","Unidades"
"UF","12","Acre","2020","B Indústrias extrativas","3","Unidades"
"UF","12","Acre","2020","C Indústrias de transformação","222","Unidades"
"UF","12","Acre","2020","10 Fabricação de produtos alimentícios","96","Unidades"
"UF","12","Acre","2020","20 Fabricação de produtos químicos","3","Unidades"
"UF","12","Acre","2020","24 Metalurgia","-","Unidades"
"UF","12","Acre","2020","29 Fabricação de veículos automotores, reboques e carrocerias","10","Unidades"
"UF","12","Acre","2021","Total","250","Unidades"
"UF","12","Acre","2021","B Indústrias extrativas","3","Unidades"
"UF","12","Acre","2021","C Indústrias de transformação","247","Unidades"
"UF","12","Acre","2021","10 Fabricação de produtos alimentícios","96","Unidades"
"UF","12","Acre","2021","20 Fabricação de produtos químicos","5","Unidades"
"UF","12","Acre","2021","24 Metalurgia","-","Unidades"
"UF","12","Acre","2021","29 Fabricação de veículos automotores, reboques e carrocerias","10","Unidades"
"UF","12","Acre","2022","Total","251","Unidades"
"UF","12","Acre","2022","B Indústrias extrativas","3","Unidades"
"UF","12","Acre","2022","C Indústrias de transformação","248","Unidades"
"UF","12","Acre","2022","10 Fabricação de produtos alimentícios","106","Unidades"
"UF","12","Acre","2022","20 Fabricação de produtos químicos","7","Unidades"
"UF","12","Acre","2022","24 Metalurgia","-","Unidades"
"UF","12","Acre","2022","29 Fabricação de veículos automotores, reboques e carrocerias","9","Unidades"
"UF","12","Acre","2023","Total","259","Unidades"
"UF","12","Acre","2023","B Indústrias extrativas","7","Unidades"
"UF","12","Acre","2023","C Indústrias de transformação","252","Unidades"
"UF","12","Acre","2023","10 Fabricação de produtos alimentícios","114","Unidades"
"UF","12","Acre","2023","20 Fabricação de produtos químicos","5","Unidades"
"UF","12","Acre","2023","24 Metalurgia","-","Unidades"
"UF","12","Acre","2023","29 Fabricação de veículos automotores, reboques e carrocerias","5","Unidades"
"UF","13","Amazonas","2007","Total","1016","Unidades"
"UF","13","Amazonas","2007","B Indústrias extrativas","15","Unidades"
"UF","13","Amazonas","2007","C Indústrias de transformação","1001","Unidades"
"UF","13","Amazonas","2007","10 Fabricação de produtos alimentícios","168","Unidades"
"UF","13","Amazonas","2007","20 Fabricação de produtos químicos","34","Unidades"
"UF","13","Amazonas","2007","24 Metalurgia","16","Unidades"
"UF","13","Amazonas","2007","29 Fabricação de veículos automotores, reboques e carrocerias","18","Unidades"
"UF","13","Amazonas","2008","Total","1080","Unidades"
"UF","13","Amazonas","2008","B Indústrias extrativas","16","Unidades"
"UF","13","Amazonas","2008","C Indústrias de transformação","1064","Unidades"
"UF","13","Amazonas","2008","10 Fabricação de produtos alimentícios","198","Unidades"
"UF","13","Amazonas","2008","20 Fabricação de produtos químicos","36","Unidades"
"UF","13","Amazonas","2008","24 Metalurgia","14","Unidades"
"UF","13","Amazonas","2008","29 Fabricação de veículos automotores, reboques e carrocerias","18","Unidades"
"UF","13","Amazonas","2009","Total","1063","Unidades"
"UF","13","Amazonas","2009","B Indústrias extrativas","11","Unidades"
"UF","13","Amazonas","2009","C Indústrias de transformação","1052","Unidades"
"UF","13","Amazonas","2009","10 Fabricação de produtos alimentícios","197","Unidades"
"UF","13","Amazonas","2009","20 Fabricação de produtos químicos","43","Unidades"
"UF","13","Amazonas","2009","24 Metalurgia","19","Unidades"
"UF","13","Amazonas","2009","29 Fabricação de veículos automotores, reboques e carrocerias","19","Unidades"
"UF","13","Amazonas","2010","Total","1121","Unidades"
"UF","13","Amazonas","2010","B Indústrias extrativas","16","Unidades"
"UF","13","Amazonas","2010","C Indústrias de transformação","1105","Unidades"
"UF","13","Amazonas","2010","10 Fabricação de produtos alimentícios","173","Unidades"
"UF","13","Amazonas","2010","20 Fabricação de produtos químicos","40","Unidades"
"UF","13","Amazonas","2010","24 Metalurgia","17","Unidades"
"UF","13","Amazonas","2010","29 Fabricação de veículos automotores, reboques e carrocerias","24","Unidades"
"UF","13","Amazonas","2011","Total","1181","Unidades"
"UF","13","Amazonas","2011","B Indústrias extrativas","20","Unidades"
"UF","13","Amazonas","2011","C Indústrias de transformação","1161","Unidades"
"UF","13","Amazonas","2011","10 Fabricação de produtos alimentícios","206","Unidades"
"UF","13","Amazonas","2011","20 Fabricação de produtos químicos","47","Unidades"
"UF","13","Amazonas","2011","24 Metalurgia","10","Unidades"
"UF","13","Amazonas","2011","29 Fabricação de veículos automotores, reboques e carrocerias","28","Unidades"
"UF","13","Amazonas","2012","Total","1066","Unidades"
"UF","13","Amazonas","2012","B Indústrias extrativas","22","Unidades"
"UF","13","Amazonas","2012","C Indústrias de transformação","1044","Unidades"
"UF","13","Amazonas","2012","10 Fabricação de produtos alimentícios","157","Unidades"
"UF","13","Amazonas","2012","20 Fabricação de produtos químicos","40","Unidades"
"UF","13","Amazonas","2012","24 Metalurgia","12","Unidades"
"UF","13","Amazonas","2012","29 Fabricação de veículos automotores, reboques e carrocerias","31","Unidades"
"UF","13","Amazonas","2013","Total","1269","Unidades"
"UF","13","Amazonas","2013","B Indústrias extrativas","24","Unidades"
"UF","13","Amazonas","2013","C Indústrias de transformação","1245","Unidades"
"UF","13","Amazonas","2013","10 Fabricação de produtos alimentícios","195","Unidades"
"UF","13","Amazonas","2013","20 Fabricação de produtos químicos","46","Unidades"
"UF","13","Amazonas","2013","24 Metalurgia","14","Unidades"
"UF","13","Amazonas","2013","29 Fabricação de veículos automotores, reboques e carrocerias","29","Unidades"
"UF","13","Amazonas","2014","Total","1248","Unidades"
