UF,Cód_IBGE,Ano,Setor,Valor,Variável
Amazonas,13,2011,20 Fabricação de produtos químicos,47.0,Número de unidades locais
Amazonas,13,2011,24 Metalurgia,10.0,Número de unidades locais
Amazonas,13,2011,"29 Fabricação de veículos automotores, reboques e carrocerias",28.0,Número de unidades locais
Amazonas,13,2012,Total,1066.0,Número de unidades locais
Amazonas,13,2012,B Indústrias extrativas,22.0,Número de unidades locais
Amazonas,13,2012,C Indústrias de transformação,1044.0,Número de unidades locais
Amazonas,13,2012,10 Fabricação de produtos alimentícios,157.0,Número de unidades locais
Amazonas,13,2012,20 Fabricação de produtos químicos,40.0,Número de unidades locais
Amazonas,13,2012,24 Metalurgia,12.0,Número de unidades locais
Amazonas,13,2012,"29 Fabricação de veículos automotores, reboques e carrocerias",31.0,Número de unidades locais
Amazonas,13,2013,Total,1269.0,Número de unidades locais
Amazonas,13,2013,B Indústrias extrativas,24.0,Número de unidades locais
Amazonas,13,2013,C Indústrias de transformação,1245.0,Número de unidades locais
Amazonas,13,2013,10 Fabricação de produtos alimentícios,195.0,Número de unidades locais
Amazonas,13,2013,20 Fabricação de produtos químicos,46.0,Número de unidades locais
Amazonas,13,2013,24 Metalurgia,14.0,Número de unidades locais
Amazonas,13,2013,"29 Fabricação de veículos automotores, reboques e carrocerias",29.0,Número de unidades locais
Amazonas,13,2014,Total,1248.0,Número de unidades locais
Amazonas,13,2014,B Indústrias extrativas,29.0,Número de unidades locais
Amazonas,13,2014,C Indústrias de transformação,1219.0,Número de unidades locais
Amazonas,13,2014,10 Fabricação de produtos alimentícios,190.0,Número de unidades locais
Amazonas,13,2014,20 Fabricação de produtos químicos,41.0,Número de unidades locais
Amazonas,13,2014,24 Metalurgia,16.0,Número de unidades locais
Amazonas,13,2014,"29 Fabricação de veículos automotores, reboques e carrocerias",22.0,Número de unidades locais
Amazonas,13,2015,Total,1194.0,Número de unidades locais
Amazonas,13,2015,B Indústrias extrativas,21.0,Número de unidades locais
Amazonas,13,2015,C Indústrias de transformação,1173.0,Número de unidades locais
Amazonas,13,2015,10 Fabricação de produtos alimentícios,215.0,Número de unidades locais
Amazonas,13,2015,20 Fabricação de produtos químicos,41.0,Número de unidades locais
Amazonas,13,2015,24 Metalurgia,20.0,Número de unidades locais
Amazonas,13,2015,"29 Fabricação de veículos automotores, reboques e carrocerias",23.0,Número de unidades locais
Amazonas,13,2016,Total,1156.0,Número de unidades locais
Amazonas,13,2016,B Indústrias extrativas,14.0,Número de unidades locais
Amazonas,13,2016,C Indústrias de transformação,1142.0,Número de unidades locais
Amazonas,13,2016,10 Fabricação de produtos alimentícios,214.0,Número de unidades locais
Amazonas,13,2016,20 Fabricação de produtos químicos,36.0,Número de unidades locais
Amazonas,13,2016,24 Metalurgia,13.0,Número de unidades locais
Amazonas,13,2016,"29 Fabricação de veículos automotores, reboques e carrocerias",30.0,Número de unidades locais
Amazonas,13,2017,Total,1112.0,Número de unidades locais
Amazonas,13,2017,B Indústrias extrativas,13.0,Número de unidades locais
Amazonas,13,2017,C Indústrias de transformação,1099.0,Número de unidades locais
Amazonas,13,2017,10 Fabricação de produtos alimentícios,188.0,Número de unidades locais
Amazonas,13,2017,20 Fabricação de produtos químicos,36.0,Número de unidades locais
Amazonas,13,2017,24 Metalurgia,15.0,Número de unidades locais
Amazonas,13,2017,"29 Fabricação de veículos automotores, reboques e carrocerias",27.0,Número de unidades locais
Amazonas,13,2018,Total,1083.0,Número de unidades locais
Amazonas,13,2018,B Indústrias extrativas,14.0,Número de unidades locais
Amazonas,13,2018,C Indústrias de transformação,1069.0,Número de unidades locais
Amazonas,13,2018,10 Fabricação de produtos alimentícios,188.0,Número de unidades locais
Amazonas,13,2018,20 Fabricação de produtos químicos,35.0,Número de unidades locais
Amazonas,13,2018,24 Metalurgia,14.0,Número de unidades locais
Amazonas,13,2018,"29 Fabricação de veículos automotores, reboques e carrocerias",22.0,Número de unidades locais
Amazonas,13,2019,Total,1008.0,Número de unidades locais
Amazonas,13,2019,B Indústrias extrativas,14.0,Número de unidades locais
Amazonas,13,2019,C Indústrias de transformação,994.0,Número de unidades locais
Amazonas,13,2019,10 Fabricação de produtos alimentícios,192.0,Número de unidades locais
